,Tweets,Happiness,Anger,Fear,Sadness,Disgust,Sentiment
20,tubirfess sorry hear that hebat bertahan titik inii hanya saranin kuatin jaga kesehatan fisik mental nyerah cari kerjaan gaji semoga membaik hutangnya cepat selesai amin,1.632,0.536,0.72,0.524,0.608,Happiness
21,coming soon webinar kesehatan nasional banyaknya orang mengalami permasalahan kesehatan mental akibat pandemi covid dipahami pandemi covid sumber stres masyarakat dunia sosialisasi masyarakat mqewsqml,0.525,1.75,1.735,1.955,1.0,Sadness
22,ahli keuangan akibat pandemi covid pengaruhi kesehatan mental cxmsesdc,0.2,0.2,0.2,0.2,0.2,Neutral
23,indonesia terbuka kesehatan mental,0.2,0.2,0.2,0.2,0.2,Neutral
24,rencana rencana berjalan mulus pandemi heran bikin stres okay not okay yuk tonton video ruangjeda dfsouxqqxp mentalhealth mhuooqg,0.2,0.2,0.2,0.2,0.2,Neutral
25,mutual jan lupa jaga kesehatan fisik mental loou makan bergizi sehat suplemen vitamin capai istirahat mumet coba gambar jurnaling ngetweet semoga moots sehat penuh kebaikan bye,0.816,0.268,0.36,0.262,0.304,Happiness
26,day mental kesehatan ekonomi pandemi,0.2,0.2,0.2,0.2,0.2,Neutral
27,nama tuhan yesus apapun hasil drawnya semoga pemain pemain indonesia lancar kekuatan secar fisik mental hasil terbaik kejuaraan dunia ada cedera podium tertinggi target pemain,0.714,0.2345,0.315,0.22925,0.266,Happiness
28,kegiatan live instagram diharapkan meningkatkan self awareness masyarakat menjaga kesehatan mental pandemi agymautq,0.3625,0.48,0.4925,0.46,0.3225,Fear
29,perkembangan teknologi pandemi covid psikolog klinis temukan mental simak selengkapnya othotqkki,0.2,0.2,0.2,0.2,0.2,Neutral
30,situasi pandemi covid kesehatan fisik kesehatan mental dijaga isolasi mandiri kesehatan mental meningkatkan daya tahan tubuh ubuj,0.2,0.2,0.2,0.2,0.2,Neutral
31,dinas liat diagnosa pasien hamil kena covid berasa sedih langsung mikir mental bayinya fase,0.2625,0.875,0.8675,0.9775,0.5,Sadness
32,bersyukur loh dimasa pandemi berat mental kesehatan and money stressfull ngadepin dunia merasakan isolasi covid cenderung tahap berat teman sosmed nyalakan notif mss tuh ngebantu tertawa paham,0.051562,0.069375,0.069062,0.054688,0.04375,Anger
33,isu terkait kesehatan mental diperbincangkan pandemi covid berbeda orang dewasa anak anak cendrung sulit mengutarakan isi hatinya zrzn uws mentalhealth anakstres ayahbunda,0.103125,0.13875,0.138125,0.109375,0.0875,Anger
34,lupa jaga bodi jaga mental kalah mental utama info pandemi orang alami depresi jaga mental merawat gembira semangat optimis,2.04,0.67,0.9,0.655,0.76,Happiness
35,jarang drama bahas kesehatan mental gini serius ilmu gratis hanya nonton drama,0.725,0.96,0.985,0.92,0.645,Fear
36,kabar berbelanja online bermanfaat kesehatan mental lho wejun,0.2,0.2,0.2,0.2,0.2,Neutral
37,wbp dianjurkan menerapkan kebiasaan kebiasaan tubuh mental lingkungan diterpa pandemi covid,0.2,0.2,0.2,0.2,0.2,Neutral
38,kegiatan lakukan acara webinar covid tema kenal kebal sehat fisik mental pandemi,0.18125,0.24,0.24625,0.23,0.16125,Fear
39,kesehatan mental dijaga pandemi pembatasan kegiatan ruang gerak jarang kesal depresi,0.090625,0.12,0.123125,0.115,0.080625,Fear
40,kesehatan mental sejatinya perhatian kehidupan manusia mental sehat manusia menjalankan kesehariannya lancar era pandemi covid berusaha menjaga kesehatan mental,0.51,0.1675,0.225,0.16375,0.19,Happiness
41,kesimpulan guedapet tinggalin apapun mengganggu kesehatan mental,0.3325,0.875,0.6825,0.765,0.605,Anger
42,tubuh mental sehat kelebihan produktif kegiatan sehari pandemi bersyukur sobatcegah salah menjauhi narkoba rusak dirimu narkoba sob dgoyue pdw,0.045312,0.06,0.061562,0.0575,0.040313,Fear
43,kondisi burnout burnout istilah menggambarkan kondisi stres berat dipicu pekerjaan burnout dibiarkan berlarut larut diatasi memengaruhi kesehatan fisik mental jlzeqgiyxg,0.025781,0.034688,0.034531,0.027344,0.021875,Anger
44,lisa cinta inside suicide awareness platform bantuan kesehatan mental kecanduan melukai amp ide percobaan bunuh lisa hotline bahasa indonesia english suicideprevention pencegahanbunuhdiri,1.33,3.5,2.73,3.06,2.42,Anger
45,lumayan vital sih pandemi gini serba susah ngaruh mental orang indo menyepelekan masyarakat diedukasi,2.215,3.335,3.3,3.55,3.755,Disgust
46,lumayan tuh dibilang manipulatif sih gaslight gimana pokoknya smp bahagia keluarga tuh gapeduli smp kesehatan mental ampe,0.92,3.66,3.2,3.69,3.48,Sadness
47,pandemi beban mental mendalam masyarakat dunia klasik perihal kesehatan mental stigma buruk masyarakat mendobrak stigma headline kmtb alyf,0.6525,1.45,1.1675,1.25,1.53,Disgust
48,kesehatan mental steorotip negatif psikolog psikiater,0.2,0.2,0.2,0.2,0.2,Neutral
49,psikologis depresi meningkat pandemi covid peningkatan kesadaran kesehatan mental majalahtempo cnqdeycbxk,0.2,0.2,0.2,0.2,0.2,Neutral
50,orang mengekspresikan kecewanya berbeda beda self harm haram hukumnya berjuang self cinta menjaga kesehatan mental,0.2,0.2,0.2,0.2,0.2,Neutral
51,kutahu kesadaran kesehatan mental negeriku tercinta semoga menyadari kesehatan mental,0.2,0.2,0.2,0.2,0.2,Neutral
52,menerapkan menjaga kesehatan mental pandemi covid menjalani produktif gais,0.2,0.2,0.2,0.2,0.2,Neutral
53,orang duk kecoh kes covid least covid once positive kena rawatan and kuarantin insyaallah wbls once kena mental kesehatan terpaksa berkurung kerja rumah susah anak main kes depression,1.675,1.39,1.395,1.625,1.8,Disgust
54,pandemi covid menimbulkan dampak mengkhawatirkan kesehatan mental anak anak anak muda unicef filantropiina mengundang menghadiri virtual sharing session membahas isu kesehatan mental anak akibat pandemi covid berkepanjangan oeqnyx,0.285,0.6025,1.0225,0.755,0.4575,Fear
55,pandemi bahaya kesehatan mental atasanku kantor orgnya pendiam jarang cerita pribadi kemarin ppkm jawa bali diperpanjang kesekian kalinya belio sedih curhat kangen rumah anak istrinya jogja sembuh covid pekan,0.13125,0.4375,0.43375,0.48875,0.25,Sadness
56,salah teman mental kesehatan issue denganku berjuang melawan covid ngakunya mental waras berisik medsos sharing info berguna pandemi blas kakehan hoax,0.695,1.485,0.705,0.695,0.725,Anger
57,membahas kbgo kasusnya pandemi kbgo kekerasan bentuk apapun menyebabkan trauma psikologis serius korbannya careforothers mentalhealth noeathu,0.305833,0.445417,0.51875,0.425,0.300417,Fear
58,keterbatasan pandemi memunculkan resesi ekonomi orang kehilangan pekerjaan penurunan penghasilan kesulitan memenuhi kebutuhan hidup akumulasi ketidakstabilan mental amp tekanan ekonomi mencuatnya kdrt,0.051562,0.069375,0.069062,0.054688,0.04375,Anger
59,selipkan doa sekeluarga sehat sakit sehat fisik mental bahagia doakan pandemi hilang doakan goals tercapai lupa mendoakan amp ayah doakan kebaikan,0.332,0.9485,0.845,0.95525,0.908,Sadness
60,stres tantangan kesehatan mental berat pandemi covid xqapbjapp,0.012891,0.017344,0.017266,0.013672,0.010937,Anger
61,jaga kesehatan mental duka pandemi pxmjs teman  berat nerima kenyataan akibat pandemi kehilangan orang sayang keluarga teman orang kenal yuk jaga kesehatan mental pkau xgfd,0.006445,0.008672,0.008633,0.006836,0.005469,Anger
62,liat liat orang indonesia merendahkan kesehatan mental concern,0.58,1.655,1.085,1.065,0.87,Anger
63,lakuin bantuin kerja rumah bantuin sekolah daring adik tuhan sih bahagianya bersyukur dikasi kesehatan fisik walopun mental mgkin,0.23,0.915,0.8,0.9225,0.87,Sadness
64,desember nih ada drama season sekian masukin baju koper staycation ngedate laptop tumpukan dokuman kali off burung biru off camera kasihan kesehatan jiwa mental tin fokus closing date noh dokumen diapproved,0.13125,0.4375,0.43375,0.48875,0.25,Sadness
65,menteri bisnis nuansa memanfaatkan pandemi memperkaya mengumpulkan untung rakyat buntung menghina revolusi mental menurutmu usutbisnistespcr usutbisnistespcr gambar ilustrasi hyqprxsan,0.58,1.655,1.085,1.065,0.87,Anger
66,dafaa rangnick isn that bad serius mental pemain ketolong,0.18125,0.24,0.24625,0.23,0.16125,Fear
67,hikakatnya mental celaru kasihan pengikut wala,0.065625,0.21875,0.216875,0.244375,0.125,Sadness
68,pemulihannya not easy accepted susah tuh mental nya kuat gila,0.8375,0.695,0.6975,0.8125,0.9,Disgust
69,okay test mental kelak gantian dosen orang tua bikin trauma,0.07125,0.150625,0.255625,0.18875,0.114375,Fear
70,kak ada trauma innerchild introvert yoo ngene iki keakehan follow akun kesehatan mental sing tebar fear wkwkwk,0.035625,0.075313,0.127812,0.094375,0.057188,Fear
71,mental ngotot nya liverpool ngeri,0.57,1.205,2.045,1.51,0.915,Fear
72,temu pendengar temu memahami mental kesehatan sulit,0.025781,0.034688,0.034531,0.027344,0.021875,Anger
73,mental kesehatan hasn been good condition kematian teman salah keluarga mem tnbbkq oyk,0.525,1.75,1.735,1.955,1.0,Sadness
74,mukidimewek mukidimewek kasihan kuat mental kayaknya hvu nid,0.032813,0.109375,0.108438,0.122188,0.0625,Sadness
75,gmpang cari susah masi disediain bersyukurlah sender kena mental sender santuy zlzestw,0.41875,0.3475,0.34875,0.40625,0.45,Disgust
76,asteroidjisung takut menguji mental,0.1425,0.30125,0.51125,0.3775,0.22875,Fear
77,jkcloud mental tempe kasihan,0.016406,0.054688,0.054219,0.061094,0.03125,Sadness
78,syifawahyuni enak mental kasihan,0.008203,0.027344,0.027109,0.030547,0.015625,Sadness
79,zerotwo bibitlove muttaqi hasan rizqifauzi andritany mental segitu payah sok keras nuubrgg,0.20625,0.2775,0.27625,0.21875,0.175,Anger
80,pjisung rujak takut kena mental,0.07125,0.150625,0.255625,0.18875,0.114375,Fear
81,troops bingung maenin kakak mental menang pemaen frustasi jenuh,0.57,1.205,2.045,1.51,0.915,Fear
82,aadhana mental mental tunggu next week takutnya kena mental,0.035625,0.075313,0.127812,0.094375,0.057188,Fear
83,achaluvley wkwkwkwk seram kek ngelatih mental hahaha,0.57,1.205,2.045,1.51,0.915,Fear
84,acturusj ahsnsjwmsksns panggil adik adik takut adik mental baja adik bwk geng qvzxgzc,0.017812,0.037656,0.063906,0.047188,0.028594,Fear
85,adorableracha samaa pliss suara motornya keras batt auto kena mental xad xad xad xad,0.103125,0.13875,0.138125,0.109375,0.0875,Anger
86,aelpuxr gavveeey lakik mental ciut,0.57,1.205,2.045,1.51,0.915,Fear
87,afikri utomo ngeri ngelihat modric benzema mental real madrid rajanya liga champions terbukti salut,0.285,0.6025,1.0225,0.755,0.4575,Fear
88,agnezmohugefans fitrirahma agnezmo hahah that true ccuma open eyes haters haha kadang kasihan mental,0.004102,0.013672,0.013555,0.015273,0.007812,Sadness
89,ahyassyarif hahaha mental ciut mas ketemu ngapain menandakan bersosial eqoh,0.285,0.6025,1.0225,0.755,0.4575,Fear
90,aintlova takut dibaca ulang kali been you markren vers january mwehehe selemah mental,0.008906,0.018828,0.031953,0.023594,0.014297,Fear
91,ndrug kasihan modelnya kena mental yvc,0.002051,0.006836,0.006777,0.007637,0.003906,Sadness
92,ancealaa idextratime iya kasihan main pasang masuk jajaran top dunia mental pasang kuran vzmpmdb,0.001025,0.003418,0.003389,0.003818,0.001953,Sadness
93,andritany biasalah kakak mental sosmed ketemu langsung ciut dianya,0.1425,0.30125,0.51125,0.3775,0.22875,Fear
94,animefess kematian ijul bikin sedih kuat yakk siapin mental pokoknya kejutan,0.164062,0.546875,0.542188,0.610938,0.3125,Sadness
95,anismar kasihan gembok akun nyh kena mental kya nyh,0.000513,0.001709,0.001694,0.001909,0.000977,Sadness
96,annisabalqis sulit anak aing kena mental anak aing wkwkwk,0.012891,0.017344,0.017266,0.013672,0.010937,Anger
97,applefujis bestie xab harpy bau bully kena mental susah,0.209375,0.17375,0.174375,0.203125,0.225,Disgust
98,aqil maulanaq speed indo simulator susah sih klaim cepat simulator kenyataannya mental mentul,0.104688,0.086875,0.087188,0.101562,0.1125,Disgust
99,ardynshufi mental membaik kliatan menang ngotot down situasi sulit sakitu pusat mah,0.054223,0.021086,0.026816,0.019793,0.021734,Happiness
100,areajulid hanya finansial mental menye menye gfqdfhwpeh,0.2,0.2,0.2,0.2,0.2,Neutral
101,armyfess mental wkwkwk kasihan army jerit besok,0.000256,0.000854,0.000847,0.000955,0.000488,Sadness
102,arteqryn aotfess wkwkwkwk kasihan kena mental xad xad xad,0.000128,0.000427,0.000424,0.000477,0.000244,Sadness
103,ayamgeprekst str div convomf mental ciut,0.07125,0.150625,0.255625,0.18875,0.114375,Fear
104,azizahstyles tubirfess susah adik ipar mental majikan wkwkw,0.052344,0.043437,0.043594,0.050781,0.05625,Disgust
105,baba tarot berat beda kondisi mental keuangan keluarga btcjctgzrh,0.003223,0.004336,0.004316,0.003418,0.002734,Anger
106,barcastuff idn susah mental down duluan,0.026172,0.021719,0.021797,0.025391,0.028125,Disgust
107,bbyhoonie iya matkul otomatis susah hihi kuatt mental pikiran,0.013086,0.010859,0.010898,0.012695,0.014063,Disgust
108,bdngfess kenal cerita keluarganya broken home trauma ggr mantan mental issues,0.017812,0.037656,0.063906,0.047188,0.028594,Fear
109,bdngfess sikap mental orang beda gigih ngejar langsung stop tergantung faktor,0.725,0.96,0.985,0.92,0.645,Fear
110,beebodally aneh kalilah orang orang giliran dinasehatin netizen marah nuduh netizen mental tukang bully,0.665,1.75,1.365,1.53,1.21,Anger
111,belindch sealiran nih dok ragu takut kuat mental omongan orang anak dikasih susu ullgyn,0.287227,0.607207,1.030488,0.760898,0.461074,Fear
112,beyourlight saking excitednya tepuk tangan keras patah mental,0.051562,0.069375,0.069062,0.054688,0.04375,Anger
113,binremis hanya kena mental broooww xad xad,0.2,0.2,0.2,0.2,0.2,Neutral
114,bola jakarta mental pemain gan sulit kudu rombak squad musim,0.003223,0.004336,0.004316,0.003418,0.002734,Anger
115,bwfscore mental lawan down kena teriakan bocil kematian,0.13125,0.4375,0.43375,0.48875,0.25,Sadness
116,calrvr sopan bocah mental menggelinding,2.04,0.67,0.9,0.655,0.76,Happiness
117,catitaliste marah nasibnya diketawain ngakunya kuat mental,0.3325,0.875,0.6825,0.765,0.605,Anger
118,cecedea tubirfess orang main twitter langsung kena mental dikasih beballl,0.2,0.2,0.2,0.2,0.2,Neutral
119,chanlmin jvyoen sorry kak disni kena mental mellow sedih merenung,0.278906,0.929688,0.921719,1.038594,0.53125,Sadness
120,chitaglorya saudara memiliki keterbatasan mental usaha dagangannya mengalami kesulitan vur nihsoa,0.001611,0.002168,0.002158,0.001709,0.001367,Anger
121,chojushou apikykuk mafia seram mental cemen,0.285,0.6025,1.0225,0.755,0.4575,Fear
122,cnnindonesia mental negara penjajah ceu sekongkol ramai ramai kaya,0.3475,0.7425,0.3525,0.3475,0.3625,Anger
123,collegemenfess bapakku trauma guru wkwk gajinya bagus pns mental ngadepin siswa nya bikin capai,0.008906,0.018828,0.031953,0.023594,0.014297,Fear
124,collegemenfess mental canda mental serius sih,0.090625,0.12,0.123125,0.115,0.080625,Fear
125,collegemenfess sakit mental dosenku ngeri mheri bamget anjirr tugasnya setruk,0.1425,0.30125,0.51125,0.3775,0.22875,Fear
126,convomf jujur orangtua menjatuhkan mental anaknya wha leqjtc,1.125,1.2175,1.0975,1.1375,0.9225,Anger
127,convomf orangtua kondisi fisik amp mental serius lttl,0.045312,0.06,0.061562,0.0575,0.040313,Fear
128,convomf mental ada apaapa loh berat happy for life,0.001611,0.002168,0.002158,0.001709,0.001367,Anger
129,convomf kena mental sender serius,0.022656,0.03,0.030781,0.02875,0.020156,Fear
130,convomf sender keren serius kena mental,0.011328,0.015,0.015391,0.014375,0.010078,Fear
131,convomf ngapain kena mental grgr orang merendah meninggi merendahkan orang blokir sender teman tahi,0.29,0.8275,0.5425,0.5325,0.435,Anger
132,cygaraga jnnazira ayuazizz mental rosak gaduh hahaha,0.695,1.485,0.705,0.695,0.725,Anger
133,depressshot komen bingung semoga kakak sehat fisik mental,0.285,0.6025,1.0225,0.755,0.4575,Fear
134,dilrabea kapok cess masuk baju sumpah trauma kena mental xad,0.004453,0.009414,0.015977,0.011797,0.007148,Fear
135,dribble dapettttt hanya mental grgr bingung,0.228,0.482,0.818,0.604,0.366,Fear
136,dulc susah anak siapkan manuskrip rushing mengganggu mental zjjtx kvm,0.086396,0.221465,0.17335,0.194424,0.154766,Anger
137,ehara poetry aduh ngeri sedep xad semoga dilindungi kuat mental dijahilin,0.07125,0.150625,0.255625,0.18875,0.114375,Fear
138,eksaoktavian berati mental tempe,0.000806,0.001084,0.001079,0.000854,0.000684,Anger
139,eri one makany pemain bola muda keras mental tempe,0.025781,0.034688,0.034531,0.027344,0.021875,Anger
140,izalhassan bombajbpm fikir betapa cracknya mental anak mati trauma seumur hidup water heater takziah keluarga,0.002227,0.004707,0.007988,0.005898,0.003574,Fear
141,faizaufi coba bantalnya dilempar anak mental ilmu,0.525,1.75,1.735,1.955,1.0,Sadness
142,faizaufi coba dilempar bantal mental percaya,0.2625,0.875,0.8675,0.9775,0.5,Sadness
143,finnanoviyanti ngeri bangettt kudu mental menghadapi fase tumgi,0.035625,0.075313,0.127812,0.094375,0.057188,Fear
144,flikrii bukanmayoritas the redsindo bagus sih lawannya berat berat lolos mental,0.000201,0.000271,0.00027,0.000214,0.000171,Anger
145,gagalbackstreet bangeet capeknya tuh fisik mental teriakannya terngiang hahahaha,0.525,1.75,1.735,1.955,1.0,Sadness
146,gasukaluwkwk jiiiyah ngeri kena mental cil,0.017812,0.037656,0.063906,0.047188,0.028594,Fear
147,coachjustinl gol benz bikin mental pasang down sih kayaknya aggregat lolos gol bcblurhwuk,0.2,0.2,0.2,0.2,0.2,Neutral
148,agwss nyaiibubu kondisi mental capai pandemi tekanan ekonomi provokasi ajakan bergembira berlandaskan acara agama selesai perhatikan abai,0.9725,0.5175,0.54,0.49125,0.5575,Happiness
149,collegemenfess sender ppkm pandemi bikin capai capai mental capai pikiran mengembangkan maksimal explore katak tempurung asli teman kampus dekat  suka muncul ketakutan teman,0.003562,0.007531,0.012781,0.009438,0.005719,Fear
150,menerapkan menjaga kesehatan mental pandemi covid menjalani produktif salah kunci tubuh sehat hati gembira staysafestayhealthy lawancovid,0.51,0.1675,0.225,0.16375,0.19,Happiness
151,nangis thanks kak tweet kakak reflecting diriku insecure ada kelebihan kelebihanku sederhana sehat walafiat kondisi pandemi mental suka terguncang,1.96,0.555,0.595,0.575,0.545,Happiness
152,pandemi dirumah pergi sekolah really good for mental kesehatan enaknya mah ada,0.2,0.2,0.2,0.2,0.2,Neutral
153,berpotensi mengalami mental pandemi covid menjaga kesehatan mental pandemi simak radio talk lawancovid bnpb indonesia ingatpesanibu sudahdivaksintetap vaksinmelindungikitasemua ldz cdc,0.2,0.2,0.2,0.2,0.2,Neutral
154,simak tips sederhana menjaga kesehatan mental pandemi merahputihcom tips selfcare selflove rnshennkn,0.98,0.2775,0.2975,0.2875,0.2725,Happiness
155,yuk bantu penuhi nutrisigardaterdepan tim medis berjuang garda terdepan menangani covid mengalami kelelahan fisik mental tingginya beban kerja akibat covid berdampak menurunnya imunitas,0.525,1.75,1.735,1.955,1.0,Sadness
156,ahh besok mulung streaming nya tiring day ngantuk lelah fisik mental wkwkwkw trying jik,0.2625,0.875,0.8675,0.9775,0.5,Sadness
157,pribadi sederhana pribadi memiliki mental kaya mental kaya memiliki jkz cor,0.49,0.13875,0.14875,0.14375,0.13625,Happiness
158,lelah mental nangis yak kepala yaudah wed,0.13125,0.4375,0.43375,0.48875,0.25,Sadness
159,kesehatan sejahtera fisik mental sosial utuh bebas penyakit wvshoy,0.2,0.2,0.2,0.2,0.2,Neutral
160,kiky saputri semprot anak kuliahan singgung mental kesehatan lelah allah kikysaputri,0.065625,0.21875,0.216875,0.244375,0.125,Sadness
161,permasaum bersukan bah exco sukan rekreasi permasa perkongsian info kesihatan mental maksud kes,0.2,0.2,0.2,0.2,0.2,Neutral
162,minggu pjj ptm berasa habis maraton anjir lelah fisik mental,0.032813,0.109375,0.108438,0.122188,0.0625,Sadness
163,wolfhorschele kuat mental nonton offline lelah,0.016406,0.054688,0.054219,0.061094,0.03125,Sadness
164,afmhmdd butuh hiburan bestie search temu mental aman,2.055,0.62,0.735,0.665,0.54,Happiness
165,agssaputro idextratime akbargundol mental aman kakak,1.0275,0.31,0.3675,0.3325,0.27,Happiness
166,akuwibowooaja kerjaan aman mental kesehatan kaga sek era mental kesehatan trust issue,0.51375,0.155,0.18375,0.16625,0.135,Happiness
167,aldihaydarm hahahahhahahh ngomongnya semoga kesehatan mental terjaga xad,2.055,0.62,0.735,0.665,0.54,Happiness
168,alvyaprilia lelah mental amp fisiknya pih xbb xef,0.008203,0.027344,0.027109,0.030547,0.015625,Sadness
169,anataisme semoga cepat selesai capai istirahat paksa mental kega msclb bncc,0.2,0.2,0.2,0.2,0.2,Neutral
170,andrianhamdani taktik teknik mental,0.2,0.2,0.2,0.2,0.2,Neutral
171,anggafi idextratime disenggol nangis mental aman kakak,0.256875,0.0775,0.091875,0.083125,0.0675,Happiness
172,aremafcofficial mental aman genk hahah,0.128438,0.03875,0.045937,0.041563,0.03375,Happiness
173,armyfess trimksh semoga mental aman xaa xbb,0.064219,0.019375,0.022969,0.020781,0.016875,Happiness
174,artistsbase kesiapan mental sih ngadepin orang sabar sih konsisten tanggung kelebihan disiplin,2.16,0.56,0.55,0.57,0.52,Happiness
175,astracinez oke kak maaf berani takut mental breakdown xbc xbc,0.001781,0.003766,0.006391,0.004719,0.002859,Fear
176,asttanggi reni txtdrberseragam baca nya takut nya kuat mental ngebalesin nya,0.000891,0.001883,0.003195,0.002359,0.00143,Fear
177,avogattoo menikah mudah mental fisik,1.96,0.555,0.595,0.575,0.545,Happiness
178,aynprln retweett suka nih mental mental gini wkwk twiternya aman aman gini suka membicarakan,0.0411,0.0124,0.0147,0.0133,0.0108,Happiness
179,badmintoneropa palinganakudipehape sabar min drtadi kena mental,1.08,0.28,0.275,0.285,0.26,Happiness
180,baeyijin semoga obatnya rajin diminum sehari takutnya penyakit mental yukkk sehat yuuukkk,0.000445,0.000941,0.001598,0.00118,0.000715,Fear
181,barcastuff idn mental ucl beda menang terliat mudah sempet kewalahan,0.98,0.2775,0.2975,0.2875,0.2725,Happiness
182,beyourlight gimana sih rasanyaa sumpah takut mental lemah kejadian,0.000223,0.000471,0.000799,0.00059,0.000357,Fear
183,boboiboy siapin mental boy takut baperrr cry,0.000111,0.000235,0.000399,0.000295,0.000179,Fear
184,box boxbola manager board manager cari mental juara board sabar membangun tim ovdkc,0.54,0.14,0.1375,0.1425,0.13,Happiness
185,box boxbola mental dibeli boss pemain gajinya kegedean nyaman cenderung kya tentara bayar nhj dyjwrn,2.055,0.62,0.735,0.665,0.54,Happiness
186,buttcrumbw takut kena mental,5.6e-05,0.000118,0.0002,0.000147,8.9e-05,Fear
187,chachashafira iya afsthk sabar mental xad xad,0.27,0.07,0.06875,0.07125,0.065,Happiness
188,convomf tulis lisan kasihan jantung mental aman,0.010307,0.003207,0.003781,0.003444,0.002761,Happiness
189,convomfs bebas terserah bayarannya mental awokaowkaowk nilai gede xbb,0.2,0.2,0.2,0.2,0.2,Neutral
190,dennysiregar lapor melapor mah bebas tinggal laporanx kuat cum adagelan mental,0.2,0.2,0.2,0.2,0.2,Neutral
191,doni salmanan padon mental aman pgizzrt,0.010275,0.0031,0.003675,0.003325,0.0027,Happiness
192,eboondcah aman mental,0.005138,0.00155,0.001837,0.001663,0.00135,Happiness
193,ehahoyy twt aman mental anjir bikin meninggoy,0.002569,0.000775,0.000919,0.000831,0.000675,Happiness
194,epaww lalisalovmi tanyakanrl mental aman sender xad,0.001284,0.000388,0.000459,0.000416,0.000338,Happiness
195,errrdokys txtdrmahasiswa takut kena mental xad anak jaman mah main,2.8e-05,5.9e-05,0.0001,7.4e-05,4.5e-05,Fear
196,resign tahan cari kerja susah pandemi gini kesehatan mental gaji,0.003271,0.002715,0.002725,0.003174,0.003516,Disgust
